岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
前端开发实习生,150-250/天,本科,实习6个月,济南,,,
前端开发实习生,250-300/天,本科,实习3个月,上海,,"：1.熟悉以下至少一种前端界面框架（React,Vue，jQuery）；2.了解基本的Linux使用，知道常用命令；了解任意一种SQL数据库；3.以下为加分项：有UI/UX设计经验、具有较好的审美、有Python使用经验、有Pandas使用经验、有GitHub开源社区贡献、有实际项目开发经验；4.具备良好的自律性、责任心、较强的自学能力","：1.熟悉以下至少一种前端界面框架（React,Vue，jQuery）；2.了解基本的Linux使用，知道常用命令；了解任意一种SQL数据库；3.以下为加分项：有UI/UX设计经验、具有较好的审美、有Python使用经验、有Pandas使用经验、有GitHub开源社区贡献、有实际项目开发经验；4.具备良好的自律性、责任心、较强的自学能力"
前端开发实习生,80-100/天,本科,实习3个月,广州,,】1.       本科及以上学历，计算机、软件工程等相关专业2.       熟悉前端技术；理解并掌握Javascript语言核心技术 DOM、CSS、Ajax、JSON 等，对 Javascript 框架应用(如 React/Vue/jQuery 等)有一定的经验；3.       积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力,】1.       本科及以上学历，计算机、软件工程等相关专业2.       熟悉前端技术；理解并掌握Javascript语言核心技术 DOM、CSS、Ajax、JSON 等，对 Javascript 框架应用(如 React/Vue/jQuery 等)有一定的经验；3.       积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力
前端开发工程师,120/天,本科,实习3个月,上海,,,
前端开发实习生,120-180/天,不限,实习3个月,广州,,,
前端开发实习生,100-150/天,本科,实习3个月,成都,：参与公司WEB端及移动端项目的代码开发工作参与需求分析、需求评审、需求交底持续不断优化产品，提高用户体验，还原UI设计稿  任职要求：熟悉掌握react或vue，有项目经验者优先熟练掌握ES6+、css3、html5热爱前端开发工作良好的英文读写能力，基础的英语听说能力良好的团队合作精神、沟通能力、协调能力、快速学习能力良好的编码风格，编写可读性高、易维护的代码 每周到公司实习 5 天，至少实习 3 个月，提供实习补助，可盖实习章，优秀者提供转正机会,：熟悉掌握react或vue，有项目经验者优先熟练掌握ES6+、css3、html5热爱前端开发工作良好的英文读写能力，基础的英语听说能力良好的团队合作精神、沟通能力、协调能力、快速学习能力良好的编码风格，编写可读性高、易维护的代码 每周到公司实习 5 天，至少实习 3 个月，提供实习补助，可盖实习章，优秀者提供转正机会,：熟悉掌握react或vue，有项目经验者优先熟练掌握ES6+、css3、html5热爱前端开发工作良好的英文读写能力，基础的英语听说能力良好的团队合作精神、沟通能力、协调能力、快速学习能力良好的编码风格，编写可读性高、易维护的代码 每周到公司实习 5 天，至少实习 3 个月，提供实习补助，可盖实习章，优秀者提供转正机会
前端开发实习生,80-120/天,本科,实习3个月,济南,,：1、2023年毕业生，计算机、软件工程等相关专业，每周实习5个工作日，连续实习3个月及以上；2、熟悉掌握前端框架（VUE、Angular、React、微信小程序等）进行编程,：1、2023年毕业生，计算机、软件工程等相关专业，每周实习5个工作日，连续实习3个月及以上；2、熟悉掌握前端框架（VUE、Angular、React、微信小程序等）进行编程
前端开发实习生,200-300/天,本科,实习12个月,绍兴,1、根据产品需求给出实现可行性；2、阅读项目代码进行项目日常维护；3、使用前端技术和依照开发规范完成web 项目的开发与迭代；任职要求1、熟悉JavaScript/HTML/CSS；2、熟悉vue全家桶；有做过项目者优先；3、熟悉Webpack/NodeJS，熟悉git；4、有良好的网络通信和数据结构基础；5、具备良好的沟通协调、自我驱动以及团队协作能力,1、熟悉JavaScript/HTML/CSS；2、熟悉vue全家桶；有做过项目者优先；3、熟悉Webpack/NodeJS，熟悉git；4、有良好的网络通信和数据结构基础；5、具备良好的沟通协调、自我驱动以及团队协作能力,1、熟悉JavaScript/HTML/CSS；2、熟悉vue全家桶；有做过项目者优先；3、熟悉Webpack/NodeJS，熟悉git；4、有良好的网络通信和数据结构基础；5、具备良好的沟通协调、自我驱动以及团队协作能力
前端开发实习生,120-150/天,本科,实习3个月,广州,1、参与小程序、订货网站、供应商网站PC前端功能开发，以及手机端H5页面制作；2、完成直接上级交办的其他工作任务。任职资格1、2022届、2023届本科含以上计算机或相关专业优先；熟悉各种web前端技术，react框架开发经验优先 &semi;2、熟练使用HTML/CSS/JS等前端技术优先；3、有良好的沟通能力、学习能力和合作精神，能接受挑战承担压力；4、实习时长不少于3个月，每周不少于4天到岗，需尽快到岗；5、有相关实习经验者优先,[],[]
前端开发工程师,300-500/天,本科,实习3个月,北京,,,
